model;query;category;subcategory;contains reachability
ASLink-PT-01b;13;CTL;Fireability;True
ASLink-PT-01b;14;CTL;Fireability;True
ASLink-PT-01b;15;CTL;Fireability;False
ASLink-PT-01b;16;CTL;Fireability;True
ASLink-PT-02a;1;CTL;Cardinality;False
ASLink-PT-02a;2;CTL;Cardinality;False
ASLink-PT-02a;3;CTL;Cardinality;True
ASLink-PT-02a;4;CTL;Cardinality;True
ASLink-PT-02a;5;CTL;Cardinality;False
ASLink-PT-02a;6;CTL;Cardinality;False
ASLink-PT-02a;7;CTL;Cardinality;False
ASLink-PT-02a;8;CTL;Cardinality;True
ASLink-PT-02a;9;CTL;Cardinality;True
ASLink-PT-02a;10;CTL;Cardinality;False
ASLink-PT-02a;11;CTL;Cardinality;True
ASLink-PT-02a;12;CTL;Cardinality;False
ASLink-PT-02a;13;CTL;Cardinality;True
ASLink-PT-02a;14;CTL;Cardinality;True
ASLink-PT-02a;15;CTL;Cardinality;True
ASLink-PT-02a;16;CTL;Cardinality;True
ASLink-PT-02a;1;CTL;Fireability;True
ASLink-PT-02a;2;CTL;Fireability;True
ASLink-PT-02a;3;CTL;Fireability;True
ASLink-PT-02a;4;CTL;Fireability;False
ASLink-PT-02a;5;CTL;Fireability;True
ASLink-PT-02a;6;CTL;Fireability;True
ASLink-PT-02a;7;CTL;Fireability;False
ASLink-PT-02a;8;CTL;Fireability;True
ASLink-PT-02a;9;CTL;Fireability;True
ASLink-PT-02a;10;CTL;Fireability;True
ASLink-PT-02a;11;CTL;Fireability;False
ASLink-PT-02a;12;CTL;Fireability;False
ASLink-PT-02a;13;CTL;Fireability;True
ASLink-PT-02a;14;CTL;Fireability;True
ASLink-PT-02a;15;CTL;Fireability;True
ASLink-PT-02a;16;CTL;Fireability;False
ASLink-PT-02b;1;CTL;Cardinality;False
ASLink-PT-02b;2;CTL;Cardinality;False
ASLink-PT-02b;3;CTL;Cardinality;False
ASLink-PT-02b;4;CTL;Cardinality;True
ASLink-PT-02b;5;CTL;Cardinality;False
ASLink-PT-02b;6;CTL;Cardinality;True
ASLink-PT-02b;7;CTL;Cardinality;True
ASLink-PT-02b;8;CTL;Cardinality;True
ASLink-PT-02b;9;CTL;Cardinality;True
ASLink-PT-02b;10;CTL;Cardinality;False
ASLink-PT-02b;11;CTL;Cardinality;True
ASLink-PT-02b;12;CTL;Cardinality;False
ASLink-PT-02b;13;CTL;Cardinality;True
ASLink-PT-02b;14;CTL;Cardinality;False
ASLink-PT-02b;15;CTL;Cardinality;True
ASLink-PT-02b;16;CTL;Cardinality;False
ASLink-PT-02b;1;CTL;Fireability;False
ASLink-PT-02b;2;CTL;Fireability;True
ASLink-PT-02b;3;CTL;Fireability;False
ASLink-PT-02b;4;CTL;Fireability;True
ASLink-PT-02b;5;CTL;Fireability;True
ASLink-PT-02b;6;CTL;Fireability;True
ASLink-PT-02b;7;CTL;Fireability;True
ASLink-PT-02b;8;CTL;Fireability;False
ASLink-PT-02b;9;CTL;Fireability;True
ASLink-PT-02b;10;CTL;Fireability;True
ASLink-PT-02b;11;CTL;Fireability;False
ASLink-PT-02b;12;CTL;Fireability;False
ASLink-PT-02b;13;CTL;Fireability;False
ASLink-PT-02b;14;CTL;Fireability;False
ASLink-PT-02b;15;CTL;Fireability;True
ASLink-PT-02b;16;CTL;Fireability;False
ASLink-PT-03a;1;CTL;Cardinality;True
ASLink-PT-03a;2;CTL;Cardinality;False
ASLink-PT-03a;3;CTL;Cardinality;False
ASLink-PT-03a;4;CTL;Cardinality;True
ASLink-PT-03a;5;CTL;Cardinality;False
ASLink-PT-03a;6;CTL;Cardinality;False
ASLink-PT-03a;7;CTL;Cardinality;True
ASLink-PT-03a;8;CTL;Cardinality;False
ASLink-PT-03a;9;CTL;Cardinality;True
ASLink-PT-03a;10;CTL;Cardinality;True
ASLink-PT-03a;11;CTL;Cardinality;False
ASLink-PT-03a;12;CTL;Cardinality;False
ASLink-PT-03a;13;CTL;Cardinality;True
ASLink-PT-03a;14;CTL;Cardinality;False
ASLink-PT-03a;15;CTL;Cardinality;False
ASLink-PT-03a;16;CTL;Cardinality;True
ASLink-PT-03a;1;CTL;Fireability;True
ASLink-PT-03a;2;CTL;Fireability;False
ASLink-PT-03a;3;CTL;Fireability;False
ASLink-PT-03a;4;CTL;Fireability;True
ASLink-PT-03a;5;CTL;Fireability;True
ASLink-PT-03a;6;CTL;Fireability;False
ASLink-PT-03a;7;CTL;Fireability;True
ASLink-PT-03a;8;CTL;Fireability;False
ASLink-PT-03a;9;CTL;Fireability;False
ASLink-PT-03a;10;CTL;Fireability;False
ASLink-PT-03a;11;CTL;Fireability;False
ASLink-PT-03a;12;CTL;Fireability;True
ASLink-PT-03a;13;CTL;Fireability;False
ASLink-PT-03a;14;CTL;Fireability;True
ASLink-PT-03a;15;CTL;Fireability;False
ASLink-PT-03a;16;CTL;Fireability;False
ASLink-PT-03b;1;CTL;Cardinality;True
ASLink-PT-03b;2;CTL;Cardinality;False
ASLink-PT-03b;3;CTL;Cardinality;False
ASLink-PT-03b;4;CTL;Cardinality;True
ASLink-PT-03b;5;CTL;Cardinality;False
ASLink-PT-03b;6;CTL;Cardinality;False
ASLink-PT-03b;7;CTL;Cardinality;False
ASLink-PT-03b;8;CTL;Cardinality;True
ASLink-PT-03b;9;CTL;Cardinality;False
ASLink-PT-03b;10;CTL;Cardinality;False
ASLink-PT-03b;11;CTL;Cardinality;True
ASLink-PT-03b;12;CTL;Cardinality;True
ASLink-PT-03b;13;CTL;Cardinality;True
ASLink-PT-03b;14;CTL;Cardinality;False
ASLink-PT-03b;15;CTL;Cardinality;False
ASLink-PT-03b;16;CTL;Cardinality;True
ASLink-PT-03b;1;CTL;Fireability;True
ASLink-PT-03b;2;CTL;Fireability;True
ASLink-PT-03b;3;CTL;Fireability;True
ASLink-PT-03b;4;CTL;Fireability;True
ASLink-PT-03b;5;CTL;Fireability;False
ASLink-PT-03b;6;CTL;Fireability;False
ASLink-PT-03b;7;CTL;Fireability;False
ASLink-PT-03b;8;CTL;Fireability;False
ASLink-PT-03b;9;CTL;Fireability;True
ASLink-PT-03b;10;CTL;Fireability;True
ASLink-PT-03b;11;CTL;Fireability;False
ASLink-PT-03b;12;CTL;Fireability;True
ASLink-PT-03b;13;CTL;Fireability;True
ASLink-PT-03b;14;CTL;Fireability;False
ASLink-PT-03b;15;CTL;Fireability;True
ASLink-PT-03b;16;CTL;Fireability;True
ASLink-PT-04a;1;CTL;Cardinality;True
ASLink-PT-04a;2;CTL;Cardinality;True
ASLink-PT-04a;3;CTL;Cardinality;False
ASLink-PT-04a;4;CTL;Cardinality;False
ASLink-PT-04a;5;CTL;Cardinality;True
ASLink-PT-04a;6;CTL;Cardinality;True
ASLink-PT-04a;7;CTL;Cardinality;True
ASLink-PT-04a;8;CTL;Cardinality;False
ASLink-PT-04a;9;CTL;Cardinality;False
ASLink-PT-04a;10;CTL;Cardinality;False
ASLink-PT-04a;11;CTL;Cardinality;True
ASLink-PT-04a;12;CTL;Cardinality;True
ASLink-PT-04a;13;CTL;Cardinality;True
ASLink-PT-04a;14;CTL;Cardinality;True
ASLink-PT-04a;15;CTL;Cardinality;False
ASLink-PT-04a;16;CTL;Cardinality;False
ASLink-PT-04a;1;CTL;Fireability;True
ASLink-PT-04a;2;CTL;Fireability;True
ASLink-PT-04a;3;CTL;Fireability;True
ASLink-PT-04a;4;CTL;Fireability;True
ASLink-PT-04a;5;CTL;Fireability;True
ASLink-PT-04a;6;CTL;Fireability;True
ASLink-PT-04a;7;CTL;Fireability;False
ASLink-PT-04a;8;CTL;Fireability;True
ASLink-PT-04a;9;CTL;Fireability;False
ASLink-PT-04a;10;CTL;Fireability;False
ASLink-PT-04a;11;CTL;Fireability;False
ASLink-PT-04a;12;CTL;Fireability;True
ASLink-PT-04a;13;CTL;Fireability;True
ASLink-PT-04a;14;CTL;Fireability;True
ASLink-PT-04a;15;CTL;Fireability;True
ASLink-PT-04a;16;CTL;Fireability;True
ASLink-PT-04b;1;CTL;Cardinality;True
ASLink-PT-04b;2;CTL;Cardinality;True
ASLink-PT-04b;3;CTL;Cardinality;True
ASLink-PT-04b;4;CTL;Cardinality;True
ASLink-PT-04b;5;CTL;Cardinality;True
ASLink-PT-04b;6;CTL;Cardinality;False
ASLink-PT-04b;7;CTL;Cardinality;True
ASLink-PT-04b;8;CTL;Cardinality;False
ASLink-PT-04b;9;CTL;Cardinality;True
ASLink-PT-04b;10;CTL;Cardinality;False
ASLink-PT-04b;11;CTL;Cardinality;False
ASLink-PT-04b;12;CTL;Cardinality;False
ASLink-PT-04b;13;CTL;Cardinality;False
ASLink-PT-04b;14;CTL;Cardinality;False
ASLink-PT-04b;15;CTL;Cardinality;True
ASLink-PT-04b;16;CTL;Cardinality;True
ASLink-PT-04b;1;CTL;Fireability;True
ASLink-PT-04b;2;CTL;Fireability;True
ASLink-PT-04b;3;CTL;Fireability;True
ASLink-PT-04b;4;CTL;Fireability;True
ASLink-PT-04b;5;CTL;Fireability;True
ASLink-PT-04b;6;CTL;Fireability;False
ASLink-PT-04b;7;CTL;Fireability;False
ASLink-PT-04b;8;CTL;Fireability;False
ASLink-PT-04b;9;CTL;Fireability;False
ASLink-PT-04b;10;CTL;Fireability;False
ASLink-PT-04b;11;CTL;Fireability;True
ASLink-PT-04b;12;CTL;Fireability;True
ASLink-PT-04b;13;CTL;Fireability;True
ASLink-PT-04b;14;CTL;Fireability;False
ASLink-PT-04b;15;CTL;Fireability;True
ASLink-PT-04b;16;CTL;Fireability;False
ASLink-PT-05a;1;CTL;Cardinality;True
ASLink-PT-05a;2;CTL;Cardinality;False
ASLink-PT-05a;3;CTL;Cardinality;False
ASLink-PT-05a;4;CTL;Cardinality;False
ASLink-PT-05a;5;CTL;Cardinality;True
ASLink-PT-05a;6;CTL;Cardinality;True
ASLink-PT-05a;7;CTL;Cardinality;True
ASLink-PT-05a;8;CTL;Cardinality;False
ASLink-PT-05a;9;CTL;Cardinality;True
ASLink-PT-05a;10;CTL;Cardinality;True
ASLink-PT-05a;11;CTL;Cardinality;False
ASLink-PT-05a;12;CTL;Cardinality;True
ASLink-PT-05a;13;CTL;Cardinality;False
ASLink-PT-05a;14;CTL;Cardinality;True
ASLink-PT-05a;15;CTL;Cardinality;False
ASLink-PT-05a;16;CTL;Cardinality;True
ASLink-PT-05a;1;CTL;Fireability;True
ASLink-PT-05a;2;CTL;Fireability;True
ASLink-PT-05a;3;CTL;Fireability;True
ASLink-PT-05a;4;CTL;Fireability;True
ASLink-PT-05a;5;CTL;Fireability;True
ASLink-PT-05a;6;CTL;Fireability;True
ASLink-PT-05a;7;CTL;Fireability;True
ASLink-PT-05a;8;CTL;Fireability;True
ASLink-PT-05a;9;CTL;Fireability;True
ASLink-PT-05a;10;CTL;Fireability;True
ASLink-PT-05a;11;CTL;Fireability;False
ASLink-PT-05a;12;CTL;Fireability;True
ASLink-PT-05a;13;CTL;Fireability;False
ASLink-PT-05a;14;CTL;Fireability;False
ASLink-PT-05a;15;CTL;Fireability;True
ASLink-PT-05a;16;CTL;Fireability;True
ASLink-PT-05b;1;CTL;Cardinality;True
ASLink-PT-05b;2;CTL;Cardinality;True
ASLink-PT-05b;3;CTL;Cardinality;False
ASLink-PT-05b;4;CTL;Cardinality;False
ASLink-PT-05b;5;CTL;Cardinality;True
ASLink-PT-05b;6;CTL;Cardinality;False
ASLink-PT-05b;7;CTL;Cardinality;False
ASLink-PT-05b;8;CTL;Cardinality;True
ASLink-PT-05b;9;CTL;Cardinality;False
ASLink-PT-05b;10;CTL;Cardinality;False
ASLink-PT-05b;11;CTL;Cardinality;True
ASLink-PT-05b;12;CTL;Cardinality;False
ASLink-PT-05b;13;CTL;Cardinality;True
ASLink-PT-05b;14;CTL;Cardinality;True
ASLink-PT-05b;15;CTL;Cardinality;False
ASLink-PT-05b;16;CTL;Cardinality;False
ASLink-PT-05b;1;CTL;Fireability;True
ASLink-PT-05b;2;CTL;Fireability;True
ASLink-PT-05b;3;CTL;Fireability;False
ASLink-PT-05b;4;CTL;Fireability;True
ASLink-PT-05b;5;CTL;Fireability;False
ASLink-PT-05b;6;CTL;Fireability;False
ASLink-PT-05b;7;CTL;Fireability;False
ASLink-PT-05b;8;CTL;Fireability;False
ASLink-PT-05b;9;CTL;Fireability;False
ASLink-PT-05b;10;CTL;Fireability;True
ASLink-PT-05b;11;CTL;Fireability;True
ASLink-PT-05b;12;CTL;Fireability;False
ASLink-PT-05b;13;CTL;Fireability;True
ASLink-PT-05b;14;CTL;Fireability;False
ASLink-PT-05b;15;CTL;Fireability;True
ASLink-PT-05b;16;CTL;Fireability;False
ASLink-PT-06a;1;CTL;Cardinality;True
ASLink-PT-06a;2;CTL;Cardinality;True
ASLink-PT-06a;3;CTL;Cardinality;False
ASLink-PT-06a;4;CTL;Cardinality;True
ASLink-PT-06a;5;CTL;Cardinality;True
ASLink-PT-06a;6;CTL;Cardinality;False
ASLink-PT-06a;7;CTL;Cardinality;True
ASLink-PT-06a;8;CTL;Cardinality;False
ASLink-PT-06a;9;CTL;Cardinality;False
ASLink-PT-06a;10;CTL;Cardinality;True
ASLink-PT-06a;11;CTL;Cardinality;False
ASLink-PT-06a;12;CTL;Cardinality;False
ASLink-PT-06a;13;CTL;Cardinality;True
ASLink-PT-06a;14;CTL;Cardinality;True
ASLink-PT-06a;15;CTL;Cardinality;False
ASLink-PT-06a;16;CTL;Cardinality;True
ASLink-PT-06a;1;CTL;Fireability;False
ASLink-PT-06a;2;CTL;Fireability;True
ASLink-PT-06a;3;CTL;Fireability;True
ASLink-PT-06a;4;CTL;Fireability;True
ASLink-PT-06a;5;CTL;Fireability;True
ASLink-PT-06a;6;CTL;Fireability;True
ASLink-PT-06a;7;CTL;Fireability;True
ASLink-PT-06a;8;CTL;Fireability;False
ASLink-PT-06a;9;CTL;Fireability;False
ASLink-PT-06a;10;CTL;Fireability;False
ASLink-PT-06a;11;CTL;Fireability;True
ASLink-PT-06a;12;CTL;Fireability;False
ASLink-PT-06a;13;CTL;Fireability;True
ASLink-PT-06a;14;CTL;Fireability;True
ASLink-PT-06a;15;CTL;Fireability;False
ASLink-PT-06a;16;CTL;Fireability;True
ASLink-PT-06b;1;CTL;Cardinality;True
ASLink-PT-06b;2;CTL;Cardinality;True
ASLink-PT-06b;3;CTL;Cardinality;False
ASLink-PT-06b;4;CTL;Cardinality;False
ASLink-PT-06b;5;CTL;Cardinality;False
ASLink-PT-06b;6;CTL;Cardinality;False
ASLink-PT-06b;7;CTL;Cardinality;True
ASLink-PT-06b;8;CTL;Cardinality;False
ASLink-PT-06b;9;CTL;Cardinality;True
ASLink-PT-06b;10;CTL;Cardinality;True
ASLink-PT-06b;11;CTL;Cardinality;False
ASLink-PT-06b;12;CTL;Cardinality;False
ASLink-PT-06b;13;CTL;Cardinality;True
ASLink-PT-06b;14;CTL;Cardinality;True
ASLink-PT-06b;15;CTL;Cardinality;True
ASLink-PT-06b;16;CTL;Cardinality;True
ASLink-PT-06b;1;CTL;Fireability;True
ASLink-PT-06b;2;CTL;Fireability;True
ASLink-PT-06b;3;CTL;Fireability;False
ASLink-PT-06b;4;CTL;Fireability;False
ASLink-PT-06b;5;CTL;Fireability;True
ASLink-PT-06b;6;CTL;Fireability;False
ASLink-PT-06b;7;CTL;Fireability;False
ASLink-PT-06b;8;CTL;Fireability;False
ASLink-PT-06b;9;CTL;Fireability;False
ASLink-PT-06b;10;CTL;Fireability;False
ASLink-PT-06b;11;CTL;Fireability;True
ASLink-PT-06b;12;CTL;Fireability;True
ASLink-PT-06b;13;CTL;Fireability;True
ASLink-PT-06b;14;CTL;Fireability;False
ASLink-PT-06b;15;CTL;Fireability;False
ASLink-PT-06b;16;CTL;Fireability;False
ASLink-PT-07a;1;CTL;Cardinality;False
ASLink-PT-07a;2;CTL;Cardinality;True
ASLink-PT-07a;3;CTL;Cardinality;False
ASLink-PT-07a;4;CTL;Cardinality;True
ASLink-PT-07a;5;CTL;Cardinality;True
ASLink-PT-07a;6;CTL;Cardinality;True
ASLink-PT-07a;7;CTL;Cardinality;True
ASLink-PT-07a;8;CTL;Cardinality;True
ASLink-PT-07a;9;CTL;Cardinality;True
ASLink-PT-07a;10;CTL;Cardinality;False
ASLink-PT-07a;11;CTL;Cardinality;False
ASLink-PT-07a;12;CTL;Cardinality;False
ASLink-PT-07a;13;CTL;Cardinality;False
ASLink-PT-07a;14;CTL;Cardinality;False
ASLink-PT-07a;15;CTL;Cardinality;False
ASLink-PT-07a;16;CTL;Cardinality;False
ASLink-PT-07a;1;CTL;Fireability;False
ASLink-PT-07a;2;CTL;Fireability;False
ASLink-PT-07a;3;CTL;Fireability;True
ASLink-PT-07a;4;CTL;Fireability;False
ASLink-PT-07a;5;CTL;Fireability;False
ASLink-PT-07a;6;CTL;Fireability;True
ASLink-PT-07a;7;CTL;Fireability;True
ASLink-PT-07a;8;CTL;Fireability;True
ASLink-PT-07a;9;CTL;Fireability;False
ASLink-PT-07a;10;CTL;Fireability;False
ASLink-PT-07a;11;CTL;Fireability;True
ASLink-PT-07a;12;CTL;Fireability;False
ASLink-PT-07a;13;CTL;Fireability;True
ASLink-PT-07a;14;CTL;Fireability;True
ASLink-PT-07a;15;CTL;Fireability;False
ASLink-PT-07a;16;CTL;Fireability;True
ASLink-PT-07b;1;CTL;Cardinality;True
ASLink-PT-07b;2;CTL;Cardinality;False
ASLink-PT-07b;3;CTL;Cardinality;True
ASLink-PT-07b;4;CTL;Cardinality;False
ASLink-PT-07b;5;CTL;Cardinality;False
ASLink-PT-07b;6;CTL;Cardinality;False
ASLink-PT-07b;7;CTL;Cardinality;False
ASLink-PT-07b;8;CTL;Cardinality;True
ASLink-PT-07b;9;CTL;Cardinality;False
ASLink-PT-07b;10;CTL;Cardinality;False
ASLink-PT-07b;11;CTL;Cardinality;False
ASLink-PT-07b;12;CTL;Cardinality;True
ASLink-PT-07b;13;CTL;Cardinality;False
ASLink-PT-07b;14;CTL;Cardinality;True
ASLink-PT-07b;15;CTL;Cardinality;False
ASLink-PT-07b;16;CTL;Cardinality;False
ASLink-PT-07b;1;CTL;Fireability;False
ASLink-PT-07b;2;CTL;Fireability;False
ASLink-PT-07b;3;CTL;Fireability;True
ASLink-PT-07b;4;CTL;Fireability;True
ASLink-PT-07b;5;CTL;Fireability;True
ASLink-PT-07b;6;CTL;Fireability;False
ASLink-PT-07b;7;CTL;Fireability;False
ASLink-PT-07b;8;CTL;Fireability;True
ASLink-PT-07b;9;CTL;Fireability;True
ASLink-PT-07b;10;CTL;Fireability;True
ASLink-PT-07b;11;CTL;Fireability;True
ASLink-PT-07b;12;CTL;Fireability;False
ASLink-PT-07b;13;CTL;Fireability;True
ASLink-PT-07b;14;CTL;Fireability;False
ASLink-PT-07b;15;CTL;Fireability;True
ASLink-PT-07b;16;CTL;Fireability;True
ASLink-PT-08a;1;CTL;Cardinality;False
ASLink-PT-08a;2;CTL;Cardinality;True
ASLink-PT-08a;3;CTL;Cardinality;True
ASLink-PT-08a;4;CTL;Cardinality;True
ASLink-PT-08a;5;CTL;Cardinality;True
ASLink-PT-08a;6;CTL;Cardinality;True
ASLink-PT-08a;7;CTL;Cardinality;False
ASLink-PT-08a;8;CTL;Cardinality;True
ASLink-PT-08a;9;CTL;Cardinality;False
ASLink-PT-08a;10;CTL;Cardinality;True
ASLink-PT-08a;11;CTL;Cardinality;True
ASLink-PT-08a;12;CTL;Cardinality;False
ASLink-PT-08a;13;CTL;Cardinality;True
ASLink-PT-08a;14;CTL;Cardinality;True
ASLink-PT-08a;15;CTL;Cardinality;False
ASLink-PT-08a;16;CTL;Cardinality;False
ASLink-PT-08a;1;CTL;Fireability;True
ASLink-PT-08a;2;CTL;Fireability;True
ASLink-PT-08a;3;CTL;Fireability;True
ASLink-PT-08a;4;CTL;Fireability;True
ASLink-PT-08a;5;CTL;Fireability;True
ASLink-PT-08a;6;CTL;Fireability;True
ASLink-PT-08a;7;CTL;Fireability;False
ASLink-PT-08a;8;CTL;Fireability;False
ASLink-PT-08a;9;CTL;Fireability;True
ASLink-PT-08a;10;CTL;Fireability;True
ASLink-PT-08a;11;CTL;Fireability;False
ASLink-PT-08a;12;CTL;Fireability;False
ASLink-PT-08a;13;CTL;Fireability;False
ASLink-PT-08a;14;CTL;Fireability;True
ASLink-PT-08a;15;CTL;Fireability;True
ASLink-PT-08a;16;CTL;Fireability;False
ASLink-PT-08b;1;CTL;Cardinality;False
ASLink-PT-08b;2;CTL;Cardinality;False
ASLink-PT-08b;3;CTL;Cardinality;False
ASLink-PT-08b;4;CTL;Cardinality;True
ASLink-PT-08b;5;CTL;Cardinality;True
ASLink-PT-08b;6;CTL;Cardinality;True
ASLink-PT-08b;7;CTL;Cardinality;False
ASLink-PT-08b;8;CTL;Cardinality;False
ASLink-PT-08b;9;CTL;Cardinality;False
ASLink-PT-08b;10;CTL;Cardinality;False
ASLink-PT-08b;11;CTL;Cardinality;True
ASLink-PT-08b;12;CTL;Cardinality;True
ASLink-PT-08b;13;CTL;Cardinality;False
ASLink-PT-08b;14;CTL;Cardinality;False
ASLink-PT-08b;15;CTL;Cardinality;True
ASLink-PT-08b;16;CTL;Cardinality;False
ASLink-PT-08b;1;CTL;Fireability;False
ASLink-PT-08b;2;CTL;Fireability;False
ASLink-PT-08b;3;CTL;Fireability;True
ASLink-PT-08b;4;CTL;Fireability;True
ASLink-PT-08b;5;CTL;Fireability;False
ASLink-PT-08b;6;CTL;Fireability;False
ASLink-PT-08b;7;CTL;Fireability;False
ASLink-PT-08b;8;CTL;Fireability;False
ASLink-PT-08b;9;CTL;Fireability;False
ASLink-PT-08b;10;CTL;Fireability;True
ASLink-PT-08b;11;CTL;Fireability;False
ASLink-PT-08b;12;CTL;Fireability;True
ASLink-PT-08b;13;CTL;Fireability;True
ASLink-PT-08b;14;CTL;Fireability;False
ASLink-PT-08b;15;CTL;Fireability;True
ASLink-PT-08b;16;CTL;Fireability;True
ASLink-PT-09a;1;CTL;Cardinality;True
ASLink-PT-09a;2;CTL;Cardinality;True
ASLink-PT-09a;3;CTL;Cardinality;False
ASLink-PT-09a;4;CTL;Cardinality;False
ASLink-PT-09a;5;CTL;Cardinality;True
ASLink-PT-09a;6;CTL;Cardinality;False
ASLink-PT-09a;7;CTL;Cardinality;True
ASLink-PT-09a;8;CTL;Cardinality;True
ASLink-PT-09a;9;CTL;Cardinality;True
ASLink-PT-09a;10;CTL;Cardinality;False
ASLink-PT-09a;11;CTL;Cardinality;False
ASLink-PT-09a;12;CTL;Cardinality;False
ASLink-PT-09a;13;CTL;Cardinality;False
ASLink-PT-09a;14;CTL;Cardinality;False
ASLink-PT-09a;15;CTL;Cardinality;True
ASLink-PT-09a;16;CTL;Cardinality;True
ASLink-PT-09a;1;CTL;Fireability;True
ASLink-PT-09a;2;CTL;Fireability;True
ASLink-PT-09a;3;CTL;Fireability;True
